 ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004    1.972    1.972 benchmark_multi_symbol.py:52(scan_sequential)
       50    0.003    0.000    1.968    0.039 scanner.py:377(scan_actionable)
       62    0.001    0.000    1.408    0.023 trend.py:108(analyze)
       62    0.028    0.000    1.170    0.019 structure_filter.py:21(filter)
     7024    0.022    0.000    1.132    0.000 professional_scorer.py:174(score)
       50    0.000    0.000    0.792    0.016 engine.py:97(collect)
     7024    0.011    0.000    0.586    0.000 professional_scorer.py:151(_build_context)
     7024    0.254    0.000    0.553    0.000 professional_scorer.py:56(_history_snapshot)
       50    0.000    0.000    0.489    0.010 engine.py:400(_collect_demand)
       50    0.000    0.000    0.489    0.010 demand.py:14(collect_demand)
       50    0.001    0.000    0.481    0.010 demand.py:171(_collect_shakeout)
       50    0.005    0.000    0.480    0.010 demand.py:123(_find_recovery_anchored_shakeout)
     2712    0.005    0.000    0.356    0.000 indexing.py:1192(__getitem__)
     2712    0.007    0.000    0.345    0.000 indexing.py:1740(_getitem_axis)
     3406    0.006    0.000    0.316    0.000 frame.py:4292(_ixs)
     2476    0.049    0.000    0.253    0.000 managers.py:1140(fast_xs)
   310368    0.067    0.000    0.203    0.000 professional_scorer.py:52(_valid_float)
     7024    0.014    0.000    0.198    0.000 smart_money.py:16(score)
       62    0.000    0.000    0.192    0.003 engine.py:145(_reset)
       62    0.001    0.000    0.189    0.003 engine.py:234(_create_context)
     7024    0.013    0.000    0.172    0.000 structural_swing_scorer.py:31(score)
       62    0.000    0.000    0.169    0.003 swing_engine.py:60(calculate)
      682    0.003    0.000    0.162    0.000 engine.py:250(<genexpr>)
     2774    0.024    0.000    0.142    0.000 datetimelike.py:385(__getitem__)
    72734    0.013    0.000    0.140    0.000 blocks.py:961(iget)
   310418    0.061    0.000    0.137    0.000 missing.py:97(isna)
    35120    0.033    0.000    0.117    0.000 scoring.py:44(combine_scores)
       50    0.000    0.000    0.115    0.002 engine.py:463(_collect_spring)
       50    0.002    0.000    0.115    0.002 spring.py:169(collect_spring)
       62    0.024    0.000    0.106    0.002 swing_engine.py:116(_find_potential_swings)
